SN,District,Municipality,Ward Number,Town/Village Name,Tole,Latitude,Longitude,Source Name,Source Type,Ownership,Surrounding Environment (Landuse),Plant Species around Water Source,Source Condition,Perennial / Seasonal,Dried since how many years?,Reason of drying,"After this source dried up , was there any activity for revival done in this source?",List the activities done for source revival,What was done after source was dried up?,Source Condition,Nature of discharge,Water emergence point,"Volume of bucket /bottle (1, 2, 5, 10 or 20 litre)",Time to fill (seconds),Approx. distance from the nearest dependent household (metre),One-way water fetching time (minutes),How much time did it take to fill the Jar of 20 liter before 10 yr? (minutes),Current time to fill 20 liter jar (minutes),Trend of spring discharge,Pond area (square metre),Pond depth (metre),Pond area 10 years earlier (square metre),Pond depth10 years earlier (metre),Perception on source water quality,Perception on source water quality change,Is this source in use?,Purpose of use,No. of households dependent on this source,Ethnicity of users,No. of households dependent on this source only,Ethnicity of users dependent on this source only,Any impact due to 2015 earthquake?,Is this source tapped?,Supplied to same Municipality or different?,Supplied to same ward or different wards?,Is water source significant for cultural/religious purpose?,List the events associated with sources,Is this source accessible to everyone in community? (in term of use access),If not who are restricted?,Are there water user groups for management?,User group type,Who is the chairperson?,Women in leadership position,Any spring revival / pond protection measures taken?,What measures have been taken?,Remarks (source specific comment)
4470,Kavrepalanchowk,Dhulikhel,8,simpokhari,thakle,27.6213583333333,85.573655,thakleko khanepani,spring,public,sparse_forest,banmara kutumute utish,active,perennial,,,,,,closed_kuwa,seepage,soil/sediment,1,5,1200,30,1,2,decreasing,,,,,good,no_change,yes,"drinking,household",12,Janajati,8,Janajati,decreased,yes,same,same,no,,yes,,no,,,,no,,pani prasasdha navaeko
4471,Kavrepalanchowk,Dhulikhel,8,simpokhari,syangtan tol,27.62068,85.578135,saelako khane pani,spring,public,sparse_forest,banmara titepati ghash,active,perennial,,,,,,closed_kuwa,seepage,soil/sediment,1,10,1200,30,4,5,decreasing,,,,,good,improved,yes,"drinking,livestock,agriculture",3,Janajati,3,Janajati,decreased,yes,same,same,no,,yes,,no,,,,no,,ramro sanga tyanki banaunu parnye
4472,Kavrepalanchowk,Dhulikhel,2,Rabi,Subaa tol,27.64692459,85.5656383,Subaa ko kuaa2,spring,public,sparse_forest,"Tetapatee,kalimunte,katus",active,perennial,,,,,,open_kuwa,seepage,soil/sediment,1,120,150,10,5,40,decreasing,,,,,good,degraded,no,,,,,,decreased,no,,,no,,yes,,no,,,,no,,Samraxad garnuparne xa
4473,Kavrepalanchowk,Dhulikhel,12,Dhulikhel 12,salleni ban,27.585605,85.5710083333333,Nayapatile khani mul,spring,community,dense_forest,Utish salla,active,perennial,,,,,,cemented_tank,flowing,interface between rock and sediment,1,15,150,30,5,5,same,,,,,excellent,improved,yes,"drinking,livestock",25,BCTS,25,BCTS,no_change,yes,same,same,no,,yes,,yes,informal,male,treasurer,no,,
4474,Kavrepalanchowk,Dhulikhel,4,Bkhundol,Ku,27.6177316666667,85.534875,Ku groundko kuwa,spring,private,settlement,"Titepati,banmara,ghas",dried,seasonal,2070,Infrastructure Development,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4475,Kavrepalanchowk,Dhulikhel,4,Bakhundol,Ku,27.6179566666667,85.53501,ku ko kuwa,pond,private,settlement,Aaiselu Ghas titepati,dried,seasonal,2070,Infrastructure Development,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4476,Kavrepalanchowk,Dhulikhel,4,Bakhundol,Ku,27.61803,85.535075,Ku ko kuwa3,spring,private,settlement,GhasTitepati Aaiselu,active,perennial,,,,,,cemented_tank,seepage,soil/sediment,1,600,1,1,100,200,decreasing,,,,,good,degraded,yes,"drinking,agriculture,household",1,BCTS,1,BCTS,no_change,no,,,no,,yes,,no,,,,no,,
4477,Kavrepalanchowk,Dhulikhel,4,Bakhundol,Ku,27.61764,85.53501,Ku ko pokhari,pond,private,settlement,ghas dubo ,dried,seasonal,2075,Infrastructure Development,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4478,Kavrepalanchowk,Dhulikhel,11,Aarubot,Chhapro,27.59023951,85.59664126,Chhaproko  pokhari,pond,private,settlement,"Dubo,kutmiro,",active,perennial,,,,,,,,,,,,,,,,10,0.5,8,0.5,poor,degraded,yes,agriculture,1,Janajati,1,Janajati,,no,,,no,,yes,,no,,,,no,,Samrachan gare ramro
4479,Kavrepalanchowk,Dhulikhel,11,Aarubot,Chhapro,27.59030445,85.59680283,Aarubot ko khetko mul,spring,private,agriculture,"Alaichi,halahale",active,seasonal,,,,,,open_kuwa,seepage,interface between rock and sediment,1,60,25,1,5,30,decreasing,,,,,good,degraded,no,,,,,,decreased,no,,,no,,yes,,no,,,,no,,
4480,Kavrepalanchowk,Dhulikhel,11,Dhulikhel,Chhapro,27.59087976,85.59724332,Aarubotko kholchako dharo,spring,private,agriculture,"Uniu,banmara,gauleto",active,seasonal,,,,,,stone_spout,flowing,interface between rock and sediment,1,45,200,3,5,15,decreasing,,,,,good,degraded,yes,"drinking,livestock,household",3,Janajati,3,Janajati,decreased,no,,,no,,yes,,no,,,,no,,
4481,Kavrepalanchowk,Dhulikhel,11,Dhulikhel,Tin dhuge,27.59197011,85.59750166,Tin dhugeko mul,spring,community,agriculture,"Bas,timilo,kera",active,perennial,,,,,,stone_spout,flowing,interface between rock and sediment,1,30,50,2,2,10,decreasing,,,,,good,degraded,yes,"household,agriculture,drinking,livestock",7,Janajati,7,Janajati,decreased,no,,,no,,yes,,no,,,,no,,
4482,Kavrepalanchowk,Dhulikhel,11,Dhulikhel,Tindhuge,27.59378783,85.60012438,Utis gariko mul,spring,community,sparse_forest,"Utis,banmara",active,perennial,,,,,,tap,flowing,interface between rock and sediment,1,45,500,10,2,15,decreasing,,,,,good,degraded,no,,,,,,decreased,no,,,no,,yes,,no,,,,no,,
4483,Kavrepalanchowk,Dhulikhel,11,Dhulikhel,Aarubot,27.59219739,85.59822144,Mayalko rukha muniko mul,spring,private,settlement,"Mayal,",active,perennial,,,,,,open_kuwa,flowing,interface between rock and sediment,1,30,50,2,5,10,decreasing,,,,,good,degraded,yes,"drinking,livestock,household,agriculture",15,Janajati,10,Janajati,decreased,no,,,no,,yes,,no,,,,no,,
4484,Kavrepalanchowk,Dhulikhel,6,Dhulikhel,Itipukhu,27.6189633333333,85.54903,pokhari,pond,community,settlement,sisnu ghash kapur ko bot,dried,seasonal,2070,source_neglected,no,,rainwater_harvesting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4485,Kavrepalanchowk,Dhulikhel,6,Dhulikhel,Itipokhari,27.6189766666667,85.5490316666667,Sukeko dhara,spring,community,settlement,Sisnu dubo kapurko bot,dried,perennial,2070,earthquake,no,,tanker_dependence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4486,Kavrepalanchowk,Dhulikhel,2,Rabi,Ghaghata tol,27.64058575,85.56029142,Ghaghata mul,spring,public,sparse_forest,"Utes ,tetapate,nayarnpatee",active,perennial,,,,,,open_kuwa,seepage,soil/sediment,1,55,1000,40,2,18,decreasing,,,,,good,degraded,yes,agriculture,5,BCTS,5,BCTS,decreased,no,,,no,,yes,,no,,,,no,,Samraxad garnuparne ca
4487,Kavrepalanchowk,Dhulikhel,2,Rabi,Ghaghata,27.64032461,85.56057284,Ghaghata2,spring,private,sparse_forest,"Utes, celaue,aiselu",active,perennial,,,,,,open_kuwa,seepage,soil/sediment,1,40,1100,40,3,13,decreasing,,,,,good,degraded,yes,"agriculture,drinking",6,BCTS,6,BCTS,decreased,no,,,no,,yes,,no,,,,yes,trench-pit,Samraxad garnnuparne xa
4488,Kavrepalanchowk,Dhulikhel,2,Rabi,Ghaghata,27.6413341,85.55823337,Ghaghata 3,spring,private,agriculture,"Tetapate,kalimunta,narayanpate",active,perennial,,,,,,open_kuwa,seepage,soil/sediment,1,60,1200,40,3,20,decreasing,,,,,good,degraded,yes,agriculture,5,BCTS,5,BCTS,decreased,no,,,no,,yes,,no,,,,no,,Samraxad garnnularne xa
4489,Kavrepalanchowk,Dhulikhel,2,Rabi,Ghaggata,27.6420737,85.5572536,Ghaghata 4,spring,public,agriculture,"Tetapate,narayanpate katus",active,perennial,,,,,,open_kuwa,seepage,soil/sediment,1,60,1500,45,3,20,decreasing,,,,,good,degraded,yes,"agriculture,drinking",6,BCTS,6,BCTS,decreased,no,,,no,,yes,,no,,,,no,,Samraxad garnnuparne xa
4490,Kavrepalanchowk,Dhulikhel,7,Dhulikhel,Sanjiwani tole,27.6160916666667,85.5596666666667,Sanjiwani school ma raheko ,pond,public,sparse_forest,"Dhubo,banmara",dried,seasonal,2060,Infrastructure Development,no,,"new_source_identification,tanker_dependence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4491,Kavrepalanchowk,Dhulikhel,7,Dhulikhel,Sanjiwani Margha,27.6158433333333,85.55953,Sanjiwani margha ma raheko ,pond,private,sparse_forest,Dhubo ,dried,seasonal,2060,Infrastructure Development,no,,"new_source_identification,tanker_dependence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4492,Kavrepalanchowk,Dhulikhel,7,Dhulikhel,Suparitar,27.61525,85.5584833333333,Supari tar nira ,spring,public,grassland,Dhubo,active,perennial,,,,,,open_kuwa,seepage,soil/sediment,1,20,300,2,7,7,same,,,,,poor,degraded,no,,,,,,no_change,no,,,no,,yes,,no,,,,no,,
4493,Kavrepalanchowk,Dhulikhel,2,Rabi,Ghaghata,27.64255176,85.55661607,Ghaghata 5,spring,private,agriculture,"Tetapate,narayanpate,utes",active,perennial,,,,,,open_kuwa,seepage,soil/sediment,1,60,1200,60,3,20,decreasing,,,,,good,degraded,yes,agriculture,4,BCTS,4,BCTS,decreased,no,,,no,,yes,,no,,,,no,,Samracad garnuparnu xa
4494,Kavrepalanchowk,Dhulikhel,2,Rabi,Dhulimate,27.64214209,85.56637188,Dhulimateko mul,spring,private,sparse_forest,"Temilo,kalimunta,tetapate",active,perennial,,,,,,open_kuwa,seepage,soil/sediment,1,60,150,15,3,20,decreasing,,,,,good,degraded,yes,agriculture,5,BCTS,5,BCTS,decreased,no,,,no,,yes,,no,,,,no,,Samraxad garnuparna xa
4495,Kavrepalanchowk,Dhulikhel,2,Rabi,Dhulimate,27.64236703,85.56666975,Dhulimate 2,spring,private,agriculture,"Tetapate,nayaranpate",active,perennial,,,,,,open_kuwa,seepage,soil/sediment,1,120,200,20,5,40,decreasing,,,,,good,degraded,yes,agriculture,2,BCTS,2,BCTS,decreased,no,,,no,,yes,,no,,,,no,,Samraxad garnuparne xa
4496,Kavrepalanchowk,Dhulikhel,2,Rabi,Dhulimate,27.64227764,85.56678318,Dhulimate 3,spring,private,sparse_forest,"Bass,katus,tetapate",active,perennial,,,,,,open_kuwa,seepage,soil/sediment,1,55,400,25,5,18,decreasing,,,,,good,degraded,yes,drinking,10,BCTS,10,BCTS,decreased,yes,same,same,no,,yes,,no,,,,no,,Samraxad garnuparne xa
4497,Kavrepalanchowk,Dhulikhel,11,Dhulikhel,Tiwariko tol,27.59752694,85.58844642,Tiwari tolko lakuriko bot muniko dharo,spring,community,agriculture,"Lakuri,dubo,leujhar",active,perennial,,,,,,stone_spout,flowing,interface between rock and sediment,1,30,100,1,1,10,decreasing,,,,,excellent,degraded,yes,"drinking,livestock,household,agriculture",60,BCTS,20,BCTS,decreased,no,,,no,,yes,,no,,,,no,,
4498,Kavrepalanchowk,Dhulikhel,11,Dhulikhel,Tiwari tol,27.59718002,85.58782006,Tiwari tolko khetko dharo,spring,private,agriculture,"Leu,jhar",active,perennial,,,,,,tap,flowing,interface between rock and sediment,1,60,100,2,2,20,decreasing,,,,,good,degraded,yes,"drinking,livestock,household,agriculture",60,BCTS,60,"Janajati,BCTS",decreased,no,,,no,,yes,,no,,,,no,,
4499,Kavrepalanchowk,Dhulikhel,11,Patlekhet,Ghatera tol,27.59953389,85.59035768,Ghyaanko dharo,spring,community,settlement,"Bas,leu jhar",active,perennial,,,,,,stone_spout,flowing,interface between rock and sediment,1,30,200,2,10,10,same,,,,,good,no_change,yes,"drinking,livestock,household,agriculture",50,Mixed,4,Mixed,no_change,no,,,no,,yes,,no,,,,no,,Shrotko samrachan gare ramro
4500,Kavrepalanchowk,Dhulikhel,7,Dhulikhel,Gokuleswor-tole,27.615095,85.56439,Gokuleswor nira ko darra,spring,public,settlement,Dhubo,dried,seasonal,2060,Infrastructure Development,no,,"new_source_identification,tanker_dependence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4501,Kavrepalanchowk,Dhulikhel,7,Dhulikhel,Adda ,27.6154133333333,85.5633016666667,Pipal bott nira raheko dara,spring,public,settlement,Pipal,dried,seasonal,2040,Infrastructure Development,no,,"new_source_identification,tanker_dependence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4502,Kavrepalanchowk,Dhulikhel,7,Dhulikhel,Adda,27.6152616666667,85.56271,Adda ma raheko pokhari,spring,community,agriculture,"Kerau ,dhubo",active,perennial,,,,,,open_kuwa,seepage,soil/sediment,1,30,200,3,10,10,same,,,,,poor,no_change,yes,agriculture,20,Mixed,5,Mixed,no_change,no,,,no,,yes,,no,,,,no,,
4503,Kavrepalanchowk,Dhulikhel,7,Dhulikhel,Adda,27.6153183333333,85.5627566666667,Adda nira raheko pokhari,spring,public,agriculture,Dhubo,active,perennial,,,,,,open_kuwa,seepage,soil/sediment,1,25,100,5,8,8,same,,,,,poor,no_change,yes,agriculture,10,Mixed,2,newar,no_change,no,,,no,,yes,,no,,,,no,,
4504,Kavrepalanchowk,Dhulikhel,7,Dhulikhel,Adda,27.6150566666667,85.56287,Adda ma rakheko ,spring,public,grassland,Banmara,active,perennial,,,,,,open_kuwa,seepage,soil/sediment,1,20,20,2,7,7,same,,,,,poor,no_change,yes,agriculture,10,Mixed,4,"bcts, newar",no_change,no,,,no,,yes,,no,,,,no,,
4505,Kavrepalanchowk,Dhulikhel,7,Dhulikhel,Sanjiwani bazar,27.6165033333333,85.5571916666667,Sanjiwani bazar ma raheko dhara,spring,public,settlement,Dhubo sisno,dried,perennial,2077,Infrastructure Development,no,,"new_source_identification,tanker_dependence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4506,Kavrepalanchowk,Dhulikhel,7,Dhulikhel,O-Tole,27.618375,85.5523616666667,Narathhan ma raheko dara,spring,public,settlement,Flowers,dried,perennial,2040,Infrastructure Development,no,,"new_source_identification,tanker_dependence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4507,Kavrepalanchowk,Dhulikhel,3,Nayabasti,Chankhu besi ,27.6311383333333,85.555195,Ghimire dai ko khet muni bhitta ko mul 1 ,spring,private,agriculture,"Uttis , banmara , titepati",active,perennial,,,,,,open_kuwa,flowing,rock,1,120,1500,45,40,40,same,,,,,poor,no_change,no,,,,,,no_change,no,,,no,,yes,,no,,,,no,,no
4508,Kavrepalanchowk,Dhulikhel,3,Nayabasti,Chankhubesi,27.6311616666667,85.5550983333333,Ghimire dai ko khet muni bhitta ko mul 2,spring,private,agriculture,"Uttis , banmara , titepati",active,perennial,,,,,,tap,flowing,interface between rock and sediment,1,10,1500,45,3,3,same,,,,,good,no_change,yes,drinking,6,"BCTS,Janajati",,,no_change,no,,,no,,yes,,no,,,,no,,no
4509,Kavrepalanchowk,Dhulikhel,3,Nayabasti,Parajuli gau ko pucchar,27.630815,85.5532883333333,Timsina ba le pani lageko mul 1 ,spring,private,sparse_forest,"Titepati , banmara , uttis ",active,perennial,,,,,,closed_kuwa,seepage,interface between rock and sediment,1,25,1500,30,4,4,same,,,,,good,improved,yes,"drinking,household,livestock,agriculture",3,BCTS,3,BCTS,no_change,yes,same,same,no,,yes,,no,,,,yes,source_protection,no
4510,Kavrepalanchowk,Dhulikhel,3,Nayabasti,Parajuli gau ko pucchar,27.6308983333333,85.55331,Timsina ba le lageko mul 2 ,spring,private,sparse_forest,"Banmara, titepati ,uttis ",active,perennial,,,,,,closed_kuwa,seepage,interface between rock and sediment,1,30,1500,25,10,10,same,,,,,good,improved,yes,"drinking,household,livestock,agriculture",3,BCTS,3,BCTS,no_change,yes,same,same,no,,yes,,no,,,,yes,source_protection,no
4511,Kavrepalanchowk,Dhulikhel,3,Nayabasti,Parajuli gau,27.6272866666667,85.5543783333333,Magar dai ko mul ,spring,private,sparse_forest,"Kattus , chilaune , dhunge jhar",active,perennial,,,,,,closed_kuwa,seepage,interface between rock and sediment,1,20,800,20,3,3,same,,,,,good,improved,yes,"drinking,agriculture,livestock",3,Janajati,,,no_change,yes,same,same,no,,yes,,no,,,,yes,source_protection,no
4512,Kavrepalanchowk,Dhulikhel,3,Nayabasti,Parajuli,27.627265,85.55437,Tamang dai ko pakha ko mul,spring,private,sparse_forest,"Uttis , cattus , chilaune ",active,perennial,,,,,,open_kuwa,flowing,interface between rock and sediment,1,20,850,20,6,6,same,,,,,good,no_change,yes,"livestock,agriculture",1,Janajati,,,no_change,yes,same,same,no,,yes,,no,,,,no,,no
4513,Kavrepalanchowk,Dhulikhel,3,Nayabasti,Parajuli gau,27.6271133333333,85.5540683333333,ramesh dai ko pakha ko mul ,spring,private,sparse_forest,"Cattus , pidalu , banmara",active,perennial,,,,,,open_kuwa,flowing,rock,1,25,500,10,8,8,same,,,,,good,no_change,yes,agriculture,1,Janajati,,,no_change,yes,same,same,no,,yes,,no,,,,no,,no
4514,Kavrepalanchowk,Dhulikhel,3,Chankhu besi ,Parajuli gau,27.62676,85.553775,parajuli ko kul puja garne mandir mathi ko mul,spring,private,sparse_forest,"Banmara , dhunge jhar , titepati",dried,perennial,2065,Infrastructure Development,no,,new_source_identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4515,Kavrepalanchowk,Dhulikhel,11,dhulikhel,Simkhola,27.58840415,85.5753943666667,Aashako kuwa,spring,private,sparse_forest,Utis.Bas chilauni,active,perennial,,,,,,open_kuwa,seepage,interface between rock and sediment,1,60,100,7,10,20,decreasing,,,,,good,no_change,no,,,,,,decreased,no,,,no,,yes,,no,,,,no,,Jagerna garnuparne
4516,Kavrepalanchowk,Dhulikhel,11,Dhulikhel,faskot,27.5904254,85.5746953666667,Basghari kuwa,spring,private,grassland,Banmara.utish bas,active,seasonal,,,,,,open_kuwa,seepage,interface between rock and sediment,1,240,75,4,10,80,decreasing,,,,,poor,degraded,no,,,,,,no_change,no,,,no,,yes,,no,,,,no,,Gagerna garnuparnu
4517,Kavrepalanchowk,Dhulikhel,11,faskot,Simkhola,27.5907367,85.5749604833333,Bhimko dhara,spring,private,grassland,Nigalo kafal.uniu,active,perennial,,,,,,tap,flowing,interface between rock and sediment,1,60,10,1,20,20,decreasing,,,,,good,improved,yes,"drinking,household,livestock",3,Janajati,3,Janajati,decreased,no,,,no,,yes,,no,,,,no,,jagerna garnuparne
4518,Kavrepalanchowk,Dhulikhel,11,Dhulikhel,Simkhola,27.5907514333333,85.5749827,anirodhko dhara,spring,public,grassland,Gulaph dubo karkalo,active,perennial,,,,,,tap,flowing,interface between rock and sediment,1,20,10,1,5,7,decreasing,,,,,good,improved,yes,"drinking,household,agriculture,livestock",3,Janajati,3,Janajati,no_change,yes,same,same,no,,yes,,no,,,,no,,Gagerna garnuparne
4519,Kavrepalanchowk,Dhulikhel,11,Dhulikhel,Thulo khola,27.59080175,85.5767527333333,Thulokhola padhero,spring,public,grassland,Banmara.titepati.uniu,active,seasonal,,,,,,open_kuwa,seepage,soil/sediment,1,120,500,30,5,40,decreasing,,,,,poor,degraded,no,,,,,,decreased,no,,,no,,yes,,no,,,,no,,Jagerna garnuparne
4520,Kavrepalanchowk,Dhulikhel,11,Dhulikhel,Thulokhola,27.5907891873445,85.5767880871092,Thulokhola,spring,public,fallow,Banmara.panilara.uniu,active,perennial,,,,,,closed_kuwa,flowing,interface between rock and sediment,1,60,500,30,5,20,decreasing,,,,,good,improved,no,,,,,,decreased,yes,same,same,no,,yes,,no,,,,no,,samrakshyan garnuparne
4521,Kavrepalanchowk,Dhulikhel,11,Dhulikhel,sitalbasti,27.59328925,85.5841112333333,Dipak thapa dhunge dharo,spring,public,grassland,Banmara.payau dudhilo,active,perennial,,,,,,stone_spout,flowing,interface between rock and sediment,1,46,1512,1,3,16,decreasing,,,,,excellent,improved,yes,"drinking,household,livestock",10,"BCTS,Janajati",5,"BCTS,Janajati",decreased,no,,,no,,yes,,no,,,,no,,Samrakshyan garnuparne
4522,Kavrepalanchowk,Dhulikhel,11,dhulikhel,Sitalbasti,27.5935636333333,85.5825285666667,Ghalendra dhara,spring,public,grassland,Chilauni.Banmara.hadebeer,active,perennial,,,,,,stone_spout,flowing,interface between rock and sediment,1,10,200,8,2,4,decreasing,,,,,excellent,improved,yes,"drinking,household,agriculture,livestock",10,BCTS,5,BCTS,decreased,no,,,no,,yes,,no,,,,no,,jagerna garnuparne
4523,Kavrepalanchowk,Dhulikhel,11,Dhulikhel,Sitalbasti,27.5936244833333,85.5832617833333,Gadeko pakhari,pond,public,grassland,Titepati dubo aiselu,active,perennial,,,,,,,,,,,,,,,,1200,1,1300,2,good,improved,no,,,,,,,no,,,no,,yes,,no,,,,no,,jagerna garnuparne
4524,Kavrepalanchowk,Dhulikhel,11,Dhulikhel,Sitalbasti,27.5932487166667,85.58319755,parajuliko kuwa.Timil,spring,private,grassland,Ukhu.Timila.Banmara,active,perennial,,,,,,open_kuwa,seepage,interface between rock and sediment,1,15,150,5,2,5,decreasing,,,,,good,improved,yes,agriculture,4,BCTS,2,BCTS,decreased,yes,same,same,no,,yes,,no,,,,no,,jagerna garnuparnu
4525,Kavrepalanchowk,Dhulikhel,11,Dhulikhel,Sital basti,27.5932958833333,85.58376685,Thulo dhara,spring,public,grassland,Sisnu jaliful uniu,active,perennial,,,,,,stone_spout,flowing,interface between rock and sediment,1,12,50,2,2,4,decreasing,,,,,excellent,improved,yes,"drinking,livestock,agriculture,household",30,"Janajati,BCTS",20,"Janajati,BCTS",decreased,no,,,no,,yes,,no,,,,no,,samrakshayan garnuparne
4526,Kavrepalanchowk,Dhulikhel,8,pakucha,bajokhet,27.6208941,85.5546614,tirtire dhara,spring,private,settlement,banmara gash kagati,active,perennial,,,,,,open_kuwa,seepage,soil/sediment,1,15,200,5,5,5,same,,,,,good,no_change,yes,drinking,8,Janajati,2,Janajati,no_change,no,,,no,,yes,,no,,,,no,,purna rup ma marmat garnu parnye xa
4527,Kavrepalanchowk,Dhulikhel,8,बँगैचा,बँगैचा खोल्सी,27.6227216666667,85.58138,बँगैचा खोल्सी,spring,public,sparse_forest,"चिलाउने,उतिस,चुत्रो",active,perennial,,,,,,open_kuwa,seepage,interface between rock and sediment,1,30,500,50,8,10,decreasing,,,,,good,no_change,yes,"drinking,household,livestock",5,BCTS,5,BCTS,decreased,yes,same,same,no,,yes,,no,,,,yes,recharge_pond_construction,घरायसी काममा प्रयोग छ
4528,Kavrepalanchowk,Dhulikhel,8,बँगैचा,बँगैचा,27.6208483333333,85.5854416666667,नारायण खानेपानी,spring,public,sparse_forest,"निँगालो,कुटमेरो,बाँस",active,perennial,,,,,,cemented_tank,seepage,rock,1,30,500,40,10,10,same,,,,,excellent,improved,yes,"drinking,livestock,household",2,BCTS,2,BCTS,no_change,yes,same,same,no,,yes,,no,,,,yes,recharge_pond_construction,खान को लागि र घरायसी प्रयोग
4529,Kavrepalanchowk,Dhulikhel,8,बडालगाउँ,धानचरे,27.6203916666667,85.5852016666667,धानचरे खेत,spring,public,sparse_forest,घाँस,active,perennial,,,,,,open_kuwa,seepage,soil/sediment,1,90,100,10,20,30,decreasing,,,,,good,no_change,no,,,,,,no_change,no,,,no,,yes,,no,,,,no,,खेतमा प्रयोग हुदै आएको
4530,Kavrepalanchowk,Dhulikhel,8,बँगैचा,वँगैचा,27.6217083333333,85.5846333333333,हुमगाई बारी,spring,public,agriculture,"काँडा,कुटमेरो,साल",active,perennial,,,,,,open_kuwa,seepage,soil/sediment,1,90,100,20,25,30,decreasing,,,,,good,no_change,yes,agriculture,2,BCTS,2,BCTS,decreased,yes,same,same,no,,yes,,no,,,,yes,trench-pit, खेतिमा प्रयोग भएको
4531,Kavrepalanchowk,Dhulikhel,8,बँगैचा,बँगैचा,27.6218483333333,85.5863,bagaicha pokhari,pond,private,agriculture,"किम्बु,खन्योै,चिलाउने",active,perennial,,,,,,,,,,,,,,,,20,2,20,2,good,no_change,yes,agriculture,3,"BCTS,Janajati",3,"BCTS,Janajati",,yes,same,same,no,,yes,,no,,,,yes,trench-pit,खेती भैरहेको
4532,Kavrepalanchowk,Dhulikhel,8,बगैचा ,बगैचा,27.6217316666667,85.586355,बँगैचा पुच्छर कुवा,spring,private,agriculture,"जलुको,उनिउ,तितेपाती",active,perennial,,,,,,open_kuwa,seepage,soil/sediment,1,90,150,20,30,30,same,,,,,good,no_change,yes,"drinking,agriculture",3,"BCTS,Janajati",3,"BCTS,Janajati",no_change,yes,same,same,no,,yes,,no,,,,no,,मिटर धारो नहुँदा प्रयोग हुने
